time,P,G(i),H_sun,T2m,WS10m,Int
20140117:2210,0.0,0.0,0.0,3.02,0.63,0.0
20140117:2310,0.0,0.0,0.0,2.91,0.66,0.0
20140118:0010,0.0,0.0,0.0,2.79,0.69,0.0
20140118:0110,0.0,0.0,0.0,2.77,0.66,0.0
20140118:0210,0.0,0.0,0.0,2.74,0.63,0.0
20140118:0310,0.0,0.0,0.0,2.72,0.61,0.0
20140118:0410,0.0,0.0,0.0,2.89,0.65,0.0
20140118:0510,0.0,0.0,0.0,3.07,0.69,0.0
20140118:0610,0.0,0.0,0.0,3.24,0.73,0.0
20140118:0710,7214040.0,87.36,11.52,4.91,0.83,0.0
20140118:0810,15832840.0,172.12,19.45,6.58,0.93,0.0
20140118:0910,33507760.0,346.66,25.35,8.24,1.03,0.0
20140118:1010,16332800.0,179.25,28.59,8.99,1.32,0.0
20140118:1110,8988840.0,106.9,28.74,9.74,1.61,0.0
20140118:1210,9148920.0,108.79,25.78,10.49,1.9,0.0
20140118:1310,3060080.0,45.41,20.11,9.83,1.62,0.0
20140118:1410,4209640.0,57.7,12.35,9.16,1.34,0.0
20140118:1510,31320.0,6.34,3.08,8.5,1.06,0.0
20140118:1610,0.0,0.0,0.0,7.74,0.97,0.0
20140118:1710,0.0,0.0,0.0,6.98,0.89,0.0
20140118:1810,0.0,0.0,0.0,6.22,0.8,0.0
20140118:1910,0.0,0.0,0.0,5.93,0.82,0.0
20140118:2010,0.0,0.0,0.0,5.65,0.85,0.0
20140118:2110,0.0,0.0,0.0,5.37,0.87,0.0
20140118:2210,0.0,0.0,0.0,5.23,0.91,0.0
20140118:2310,0.0,0.0,0.0,5.1,0.95,0.0
20140119:0010,0.0,0.0,0.0,4.97,0.99,0.0
20140119:0110,0.0,0.0,0.0,4.5,0.73,0.0
20140119:0210,0.0,0.0,0.0,4.02,0.46,0.0
